Neighborhood,Oz,ShippingCostPortion,ShippingCostAll,Latitude,Longitude
Battery Park,15.870975609756098,41.0,41.0,40.714704,-74.017441
Bowling Green,12.862073170731708,41.0,41.0,40.694938,-74.016926
Chelsea,50.35420731707317,45.76,49.92,40.746469,-74.002162
City Hall,3.4390243902439024,41.0,41.0,40.708615,-74.002016
East Village,50.80707317073171,45.76,49.92,40.730173,-73.98495
Hamilton Heights (upper west side),14.962134146341462,41.0,41.0,40.824878,-73.950087
Harlem,48.15024390243903,45.76,49.92,40.801216,-73.945457
Inwood,13.548048780487806,41.0,41.0,40.870817,-73.923073
Lower East Side,3.507378048780488,41.0,41.0,40.713884,-73.985923
Meatpacking District,32.474999999999994,41.0,45.76,40.733551,-74.010316
Midtown-East side,10.427560975609756,41.0,41.0,40.758361,-73.967646
Midtown-West side,70.20774390243902,49.92,50.34,40.789972,-73.977081
Morningside Heights,34.94317073170732,41.0,45.76,40.811567,-73.952902
Murray Hill,60.665792682926835,45.76,49.92,40.74666,-73.976844
NOHO,10.475609756097562,41.0,41.0,40.725555,-73.997992
Roosevelt Island,12.347560975609756,41.0,41.0,40.761439,-73.951697
Stuyvesant Park,10.862073170731708,41.0,41.0,40.738836,-73.979523
Tribeca,30.304146341463415,41.0,41.0,40.717555,-74.009135
Wall Street,0.6219512195121951,41.0,41.0,40.706151,-74.008565
Washington Heights (upper west side),48.71579268292683,45.76,49.92,40.850001,-73.935985
upper east side,216.00786585365853,60.22,73.11,40.773427,-73.954598
upper west side,187.53,59.49,72.42,40.781206,-73.976342
